idx,scenario,variant,mode,attack_ok,attack_ok_s1,attack_ok_s2,status,error_type,error_message
520,ds,base,baseline,1,1,1,ok,,
536,ds,base,baseline,1,1,1,ok,,
534,ds,base,baseline,1,1,1,ok,,
538,ds,base,baseline,1,1,1,ok,,
526,ds,base,baseline,1,1,1,ok,,
524,ds,base,baseline,1,1,1,ok,,
529,ds,base,baseline,1,1,1,ok,,
523,ds,base,baseline,1,1,1,ok,,
527,ds,base,baseline,1,1,1,ok,,
539,ds,base,baseline,1,1,1,ok,,
518,ds,base,baseline,1,1,1,ok,,
528,ds,base,baseline,1,1,1,ok,,
535,ds,base,baseline,1,1,1,ok,,
542,ds,base,baseline,1,1,1,ok,,
533,ds,base,baseline,1,1,1,ok,,
531,ds,base,baseline,1,1,1,ok,,
532,ds,base,baseline,1,1,1,ok,,
541,ds,base,baseline,1,1,1,ok,,
543,ds,base,baseline,1,1,1,ok,,
537,ds,base,baseline,1,1,1,ok,,
540,ds,base,baseline,1,1,1,ok,,
